test_id,server_id,download_connections,download_bytes,download_bytes_percent,name,country,country_code,latitude,longitude,sponsor_name
4508049707,22129,4,5907496,33.66,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508049707,33712,4,8417272,47.96,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508049903,17336,10,141141369,16.51,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4508049903,28422,11,253061145,29.61,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4508049903,33712,10,171541044,20.07,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508049903,34238,11,288968954,33.81,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508050049,4845,5,213081762,67.28,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
4508050049,11722,5,44823386,14.15,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
4508050049,22129,4,30129086,9.51,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508050049,34238,4,28672196,9.05,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508050151,22129,4,135520706,37.98,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508050151,33712,4,61574800,17.26,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508050151,34238,4,75739168,21.23,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508050151,34240,4,83944000,23.53,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4508050170,17336,4,16939220,34.01,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4508050170,28422,4,8502432,17.07,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4508050170,34238,4,16116068,32.36,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508050170,34239,4,8242788,16.55,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4508050690,17336,6,114385470,35.95,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4508050690,28422,6,94609512,29.74,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4508050690,33712,6,65094492,20.46,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508050690,34240,5,44060503,13.85,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4508051258,17336,4,45922106,18.52,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4508051258,28422,4,63242200,25.50,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4508051258,34238,4,56268800,22.69,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508051258,34239,4,82564919,33.29,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4508053099,17336,5,86404388,46.76,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4508053099,28422,4,18892708,10.23,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4508053099,33712,4,32007348,17.32,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508053099,34238,5,47461272,25.69,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508053614,17336,6,58017400,26.54,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4508053614,28422,7,93888552,42.94,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4508053614,33712,7,38845956,17.77,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508053614,34238,6,27886308,12.75,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508054084,11722,4,5455800,13.87,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
