test_id,server_id,download_connections,download_bytes,download_bytes_percent,name,country,country_code,latitude,longitude,sponsor_name
7203930103,17336,16,452004662,17.99,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7203930103,28422,16,318881065,12.69,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7203930103,33712,16,1062081640,42.26,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7203930103,34238,16,680228268,27.07,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7203933279,17336,4,14763552,63.44,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7203933279,33712,4,1668800,7.17,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7203933279,34238,4,3392200,14.58,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7203933279,34240,4,3445400,14.81,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7203935828,17336,14,538309757,22.44,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7203935828,22129,14,34094789,1.42,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
7203935828,33712,14,634946144,26.46,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7203935828,34238,14,1192001964,49.68,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7203936511,17336,16,298733561,13.35,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7203936511,28422,16,560788090,25.07,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7203936511,33712,16,682308930,30.50,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7203936511,34238,16,695373944,31.08,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7203936566,17336,4,145680,23.02,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7203936566,28422,4,148400,23.45,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7203936566,34238,4,172280,27.22,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7203936566,34239,4,166588,26.32,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7203936780,28422,4,153351858,35.05,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7203936780,33712,4,110185056,25.18,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7203936780,34238,4,103809600,23.73,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7203936780,34239,4,70205408,16.05,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7203937649,28422,16,303708025,18.36,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7203937649,33712,16,236903403,14.32,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7203937649,34238,16,847785692,51.26,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7203937649,34240,16,265515216,16.05,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7203938174,28422,4,129124800,54.55,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7203938174,33712,4,41113088,17.37,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7203938174,34238,4,39808448,16.82,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7203938174,34239,4,26654400,11.26,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7203938418,17336,4,84376,16.94,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7203938418,28422,4,171167,34.36,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
